Name,Description,Code,Producer,Price,Weight,Photo_1,Photo_2,Category,Subcategory
Angora 100% 01,"
ANGORA 100%
Kolor 01 białySkład:  angora 100%Motek 10 gram  50 metrówZalecane druty numer 3-3,5Próbka 10 na 10 cm to 27 oczek i 34 rzędyPranie ręczne.
",16632,Katia,21.0,0.01,16632_1.jpg,16632_2.jpg,WŁÓCZKI,ANGORA I MIESZANKI
Angora 100% 010,"
ANGORA 100%
Kolor 010  popielatySkład:  angora 100%Motek 10 gram  50 metrówZalecane druty numer 3-3,5Próbka 10 na 10 cm to 27 oczek i 34 rzędyPranie ręczne.
",19232,Katia,21.0,0.01,19232_1.jpg,19232_2.jpg,WŁÓCZKI,ANGORA I MIESZANKI
Angora 100% 03,"
ANGORA 100%
Kolor 3 - ecru/kremSkład:  angora 100%Motek 10 gram  50 metrówZalecane druty numer 3-3,5Próbka 10 na 10 cm to 27 oczek i 34 rzędyPranie ręczne.
",164171,Katia,21.0,0.01,164171_1.jpg,164171_2.jpg,WŁÓCZKI,ANGORA I MIESZANKI
Rafia   czerwona 08,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31400,,29.9,0.05,31400_1.jpg,31400_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia   niebieska 07,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31402,,29.9,0.05,31402_1.jpg,31402_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia   pomarańczowa 10,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31404,,29.9,0.05,31404_1.jpg,31404_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia   zielona 13,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31403,,29.9,0.05,31403_1.jpg,31403_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia   żółta  25,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31401,,29.9,0.05,31401_1.jpg,31401_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  brązowa 1608,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32721,Yarn Art,49.6,0.08,32721_1.jpg,32721_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  ciemna zieleń,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.

 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 80 - 100 m
Waga 50 gramów



Kolor: kremowy
",33125,,14.7,0.05,33125_1.jpg,33125_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  ciemny popiel,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.

 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 80 - 100 m
Waga 50 gramów



Kolor:
",33126,,14.7,0.05,33126_1.jpg,33126_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  krem,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.

 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 80 - 100 m
Waga 50 gramów



Kolor: kremowy
",33124,,14.7,0.05,33124_1.jpg,33124_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  kremowa 1602,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32726,Yarn Art,49.6,0.08,32726_1.jpg,32726_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  różowa 1605,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32723,Yarn Art,49.6,0.08,32723_1.jpg,32723_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia  żółta 1604,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32724,Yarn Art,49.6,0.08,32724_1.jpg,32724_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia biała 01,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



 
",30958,,29.9,0.05,30958_1.jpg,30958_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia błekitna 90 ,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



 
",30965,,29.9,0.05,30965_1.jpg,30965_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia bordowa 24,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



Kolor: butelkowa zieleń
",31249,,29.9,0.05,31249_1.jpg,31249_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia ecru 201,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



 
",30959,,29.9,0.05,30959_1.jpg,30959_2.jpg,WŁÓCZKI,JUTA / SIZAL
